,Critic_Score,Critic_Count,User_Score,User_Count
490,93.0,77.0,7.3,292.0
491,85.0,98.0,8.3,1172.0
492,76.0,40.0,8.8,76.0
493,78.0,7.0,4.3,700.0
494,,,4.2,85.0
495,,,,
496,91.0,74.0,8.7,1692.0
497,73.0,21.0,8.6,30.0
498,93.0,28.0,9,45.0
499,67.0,45.0,6.8,18.0
500,85.0,30.0,8.9,16.0
501,61.0,37.0,5.3,23.0
502,76.0,49.0,7.7,69.0
503,83.0,61.0,7.4,179.0
504,,,,
505,,,7.7,15.0
506,,,,
507,81.0,36.0,5.8,179.0
508,87.0,34.0,8.7,111.0
509,83.0,29.0,7.8,1530.0
510,,,,
511,,,,
512,,,,
513,84.0,60.0,8.4,494.0
514,85.0,58.0,6.1,90.0
515,,,,
516,96.0,88.0,8.9,2249.0
517,97.0,70.0,9.3,747.0
518,90.0,59.0,8.2,791.0
519,,,7,8.0
520,,,tbd,
521,,,,
522,75.0,56.0,7.5,286.0
523,,,,
524,,,7.6,7.0
525,,,,
526,,,,
527,,,,
528,,,,
529,80.0,90.0,7.9,2944.0
530,,,,
531,,,,
532,,,,
533,89.0,22.0,8.6,39.0
534,87.0,47.0,8.2,241.0
535,,,,
536,89.0,59.0,7.2,301.0
537,81.0,11.0,5.6,31.0
538,89.0,61.0,7.5,4926.0
539,83.0,81.0,7.7,836.0
540,83.0,33.0,7.7,46.0
541,84.0,85.0,7.9,942.0
542,73.0,74.0,6.7,389.0
543,,,,
544,81.0,42.0,7.4,67.0
545,84.0,70.0,7.6,490.0
546,,,,
547,,,,
548,79.0,63.0,7.4,211.0
549,,,,
550,,,,
551,69.0,44.0,6.6,174.0
552,,,3.2,58.0
553,95.0,30.0,9.1,314.0
554,86.0,23.0,8.2,56.0
555,,,,
556,89.0,83.0,7.8,893.0
557,82.0,71.0,6.5,233.0
558,78.0,55.0,5.9,94.0
559,84.0,32.0,9,41.0
560,73.0,88.0,6.8,2102.0
561,84.0,47.0,5.7,120.0
562,93.0,52.0,9.1,271.0
563,,,,
564,,,,
565,79.0,51.0,7.7,18.0
566,83.0,58.0,8.7,52.0
567,77.0,39.0,8.2,69.0
568,92.0,17.0,8.6,80.0
569,85.0,87.0,8.5,268.0
570,85.0,67.0,6.3,171.0
571,84.0,50.0,5.5,201.0
572,,,6.7,10.0
573,89.0,24.0,7.7,102.0
574,,,,
575,84.0,55.0,6.9,113.0
576,,,,
577,71.0,24.0,7.9,47.0
578,79.0,53.0,6.6,707.0
579,78.0,18.0,7.8,21.0
580,80.0,65.0,8,127.0
581,90.0,37.0,8.2,84.0
582,82.0,92.0,7.2,454.0
583,90.0,42.0,7.7,134.0
584,,,,
585,90.0,63.0,7.5,133.0
586,74.0,71.0,6.7,288.0
587,71.0,16.0,7.6,49.0
588,,,,
589,91.0,50.0,8.7,529.0
590,84.0,21.0,8.1,44.0
591,79.0,47.0,8,124.0
592,87.0,42.0,7.5,108.0
593,73.0,4.0,7.7,7.0
594,80.0,27.0,8.6,57.0
595,80.0,24.0,7.4,114.0
596,,,,
597,78.0,11.0,7.8,17.0
598,72.0,38.0,8.7,83.0
599,,,,
600,,,,
601,73.0,28.0,8.3,179.0
602,,,,
603,,,,
604,83.0,22.0,5.5,101.0
605,86.0,68.0,7.9,725.0
606,73.0,37.0,8,89.0
607,87.0,68.0,7.8,98.0
608,83.0,50.0,7,125.0
609,,,,
610,80.0,15.0,7.9,46.0
611,75.0,15.0,8,5.0
612,87.0,23.0,4.9,150.0
613,,,,
614,78.0,8.0,7,20.0
615,,,,
616,50.0,23.0,5.4,16.0
617,,,,
618,,,,
619,82.0,68.0,7.5,120.0
620,,,,
621,79.0,31.0,8.8,96.0
622,25.0,8.0,4.3,26.0
623,92.0,100.0,8.6,6383.0
624,,,,
625,70.0,26.0,7.4,74.0
626,85.0,55.0,7.7,83.0
627,92.0,72.0,8.2,178.0
628,90.0,26.0,8,99.0
629,82.0,50.0,7.7,384.0
630,87.0,79.0,6.1,1889.0
631,83.0,50.0,7,291.0
632,,,,
633,83.0,12.0,8.2,190.0
634,82.0,50.0,8.2,100.0
635,,,,
636,81.0,26.0,8.4,42.0
637,83.0,12.0,,
638,79.0,13.0,8,34.0
639,,,,
640,78.0,17.0,3.1,290.0
641,84.0,23.0,6.1,124.0
642,,,,
643,,,,
644,82.0,66.0,7.8,176.0
645,71.0,9.0,tbd,
646,,,,
647,73.0,14.0,7.9,39.0
648,66.0,28.0,8.2,92.0
649,77.0,40.0,6.8,85.0
650,82.0,16.0,8.4,53.0
651,,,,
652,62.0,11.0,6.2,34.0
653,82.0,73.0,8.1,487.0
654,,,,
655,,,,
656,,,9,90.0
657,73.0,4.0,tbd,
658,,,,
659,,,,
660,91.0,65.0,8.7,173.0
661,83.0,36.0,6.1,68.0
662,,,,
663,,,,
664,71.0,75.0,6.9,627.0
665,96.0,81.0,9.1,8665.0
666,62.0,36.0,7.6,22.0
667,85.0,46.0,6.4,108.0
668,83.0,59.0,8.8,55.0
669,42.0,10.0,5.5,16.0
670,85.0,41.0,6.8,58.0
671,,,,
672,81.0,66.0,8.5,142.0
673,,,,
674,,,,
675,73.0,33.0,2.9,67.0
676,71.0,11.0,7.2,31.0
677,89.0,82.0,9,478.0
678,78.0,22.0,6.6,28.0
679,84.0,21.0,8.4,189.0
680,86.0,14.0,6.2,115.0
681,66.0,46.0,6.5,39.0
682,,,8.6,16.0
683,,,,
684,,,,
685,84.0,42.0,9.1,51.0
686,86.0,14.0,8.5,28.0
687,,,,
688,90.0,69.0,7.9,2954.0
689,,,,
690,75.0,69.0,5.6,382.0
691,,,,
692,76.0,46.0,7.7,668.0
693,,,8.3,37.0
694,,,,
695,80.0,18.0,6.7,87.0
696,77.0,35.0,8.7,27.0
697,78.0,42.0,6.7,76.0
698,,,,
699,82.0,8.0,6.9,20.0
700,72.0,7.0,7.2,6.0
701,76.0,42.0,7.1,71.0
702,68.0,24.0,8.2,27.0
703,,,,
704,71.0,41.0,6.6,405.0
705,81.0,24.0,8.9,54.0
706,88.0,17.0,8.9,42.0
707,80.0,35.0,8.6,43.0
708,76.0,91.0,6.3,635.0
709,87.0,37.0,8.2,440.0
710,84.0,31.0,9,52.0
711,,,,
712,87.0,55.0,9.4,306.0
713,79.0,31.0,5.5,56.0
714,80.0,89.0,7.5,914.0
715,83.0,45.0,7.8,52.0
716,87.0,22.0,8.1,48.0
717,74.0,53.0,5.7,72.0
718,,,tbd,
719,69.0,42.0,6.7,61.0
720,77.0,59.0,7.9,288.0
721,,,7.4,355.0
722,74.0,16.0,8,13.0
723,79.0,61.0,8,139.0
724,80.0,32.0,5.6,136.0
725,,,,
726,,,tbd,
